year,total,boys,girls
1980,114,113,115
1981,110,110,111
1982,105,106,104
1983,105,105,105
1984,104,104,104
1985,97,96,98
1986,96,96,97
1987,95,96,96
1988,94,96,94
1989,91,92,90
1990,80,78,81
1991,80,81,80
1992,79,79,80
1993,74,73,75
1994,74,75,73
1995,74,73,76
1996,72,71,73
1997,71,70,72
1998,72,70,73
1999,70,70,71
2000,67.8,66.8,68.9
2001,66,64,68
2002,63,62,65
2003,60,57,64
2004,58,58,58
2005,58,56,61
2006,57,56,59
2007,55,55,56
2008,53,52,55
2009,50,49,52
2010,47,46,49
2011,44,43,46
2012,42,41,44
